Month,Broad occupational category," Employment, Ontario (000)"
01/01/2023,"Total, all occupations",7754.1
01/01/2023,Management occupations,787.8
01/01/2023,"Business, finance and administration occupations",1319.5
01/01/2023,Natural and applied sciences and related occupations,771.9
01/01/2023,Health occupations,602.8
01/01/2023,"Occupations in education, law and social, community and government services",937.8
01/01/2023,"Occupations in art, culture, recreation and sport",218.8
01/01/2023,Sales and service occupations,1602.9
01/01/2023,"Trades, transport and equipment operators and related occupations",1081.8
01/01/2023,"Natural resources, agriculture and related production occupations",68
01/01/2023,Occupations in manufacturing and utilities,362.8
02/01/2023,"Total, all occupations",7790.1
02/01/2023,Management occupations,781.7
02/01/2023,"Business, finance and administration occupations",1319.8
02/01/2023,Natural and applied sciences and related occupations,762.9
02/01/2023,Health occupations,601.9
02/01/2023,"Occupations in education, law and social, community and government services",924.1
02/01/2023,"Occupations in art, culture, recreation and sport",219
02/01/2023,Sales and service occupations,1662
02/01/2023,"Trades, transport and equipment operators and related occupations",1091.9
02/01/2023,"Natural resources, agriculture and related production occupations",62.8
02/01/2023,Occupations in manufacturing and utilities,364.1
03/01/2023,"Total, all occupations",7799.8
03/01/2023,Management occupations,820.4
03/01/2023,"Business, finance and administration occupations",1344.5
03/01/2023,Natural and applied sciences and related occupations,754.1
03/01/2023,Health occupations,591.4
03/01/2023,"Occupations in education, law and social, community and government services",891.5
03/01/2023,"Occupations in art, culture, recreation and sport",217.7
03/01/2023,Sales and service occupations,1666.4
03/01/2023,"Trades, transport and equipment operators and related occupations",1094.7
03/01/2023,"Natural resources, agriculture and related production occupations",62
03/01/2023,Occupations in manufacturing and utilities,357.1
04/01/2023,"Total, all occupations",8272
04/01/2023,Management occupations,840.9
04/01/2023,"Business, finance and administration occupations",1384.9
04/01/2023,Natural and applied sciences and related occupations,746.7
04/01/2023,Health occupations,589.5
04/01/2023,"Occupations in education, law and social, community and government services",907.6
04/01/2023,"Occupations in art, culture, recreation and sport",232.9
04/01/2023,Sales and service occupations,1764.8
04/01/2023,"Trades, transport and equipment operators and related occupations",1182.6
04/01/2023,"Natural resources, agriculture and related production occupations",84.3
04/01/2023,Occupations in manufacturing and utilities,357.9
05/01/2023,"Total, all occupations",7979
05/01/2023,Management occupations,827.6
05/01/2023,"Business, finance and administration occupations",1368.8
05/01/2023,Natural and applied sciences and related occupations,729.8
05/01/2023,Health occupations,582.5
05/01/2023,"Occupations in education, law and social, community and government services",890.7
05/01/2023,"Occupations in art, culture, recreation and sport",239.1
05/01/2023,Sales and service occupations,1728.1
05/01/2023,"Trades, transport and equipment operators and related occupations",1147.7
05/01/2023,"Natural resources, agriculture and related production occupations",95.1
05/01/2023,Occupations in manufacturing and utilities,369.7
06/01/2023,"Total, all occupations","8,065.80"
06/01/2023,Management occupations,823.7
06/01/2023,"Business, finance and administration occupations","1,368.70"
06/01/2023,Natural and applied sciences and related occupations,760.4
06/01/2023,Health occupations,584.5
06/01/2023,"Occupations in education, law and social, community and government services",895.3
06/01/2023,"Occupations in art, culture, recreation and sport",252.1
06/01/2023,Sales and service occupations,"1,733.50"
06/01/2023,"Trades, transport and equipment operators and related occupations","1,167.70"
06/01/2023,"Natural resources, agriculture and related production occupations",101.7
06/01/2023,Occupations in manufacturing and utilities,378.2
